Event,SiteID,DOC,PO4-P,TN,DIN-N,Fluoride,Chloride,Bromide,Sulfate,Lithium,Sodium,Potassium,Region,Reach,SiteType,Lat,Long,Area_SS,Watershed,Category,Mar 50%,Jul 50%,Fall 50%,Forest,%DEV,%IMP,%Herb
Summer,127,52.68,0.0573746,5.253333333,,59.1046,,10.8162,6962.9462,8.9407,3.8248,3.8666,Utah Valley,10,Utah Lake,40.14325,-111.8003,2950,Utah Lake,Utah Lake,0,0,0,43.8,10.7,2.1,6.15
Summer,128,14.02,0.067352785,2.972333333,0.0078428,37.0357,9976.596,4.1917,3096.9399,14.9589,7121.4182,597.2288,Utah Valley,10,Mainstem,40.138413,-111.793596,126,Benjamin Slough,Lake Tributary,16.1,22.2,14.6,37.6,10.3,3.61,6.99
Summer,130,,0.042523599,,0.118181,15.7305,1763.1151,1.2704,1042.9203,3.4504,4106.9181,110.5747,Benjamin Slough,1,Mainstem,40.11412314,-111.7927091,123,Benjamin Slough,Lake Tributary,15.6,22.2,14.3,38.4,10.6,3.71,6.4
Summer,133,40,0.093656527,12.88133333,0.0857934,20.8726,1547.7008,420.6495,1835.5198,,0.2476,3.8103,Benjamin Slough,5,Tributary,40.05579059,-111.7788193,0.49,Benjamin Slough,Lake Tributary,0.844,0.196,0.184,1.62,1.48,0.0961,16.4
Summer,134,7.79,0.124437029,4.383,1.137549,14.0214,653.1242,0.6759,567.43,2.2949,1303.0419,191.8119,Benjamin Slough,2,Canal,40.070602,-111.776705,0.79,Benjamin Slough,Lake Tributary,1.17,0.282,0.261,1.01,2.32,0.28,21.3
Summer,136,4.25,0.074311,1.397666667,0.3662358,26.6864,1785.1004,1.3992,1173.7089,,0.2324,3.788,Benjamin Slough,1,Mainstem,40.09778637,-111.7757901,117,Benjamin Slough,Lake Tributary,14.9,21.9,14,40,10.9,3.83,5.87
Summer,137,5.58,0.0480806,0.946,0.1251166,12.2269,86.1,,189.1795,,0.0169,3.7738,South Valley,1,Tributary,39.94634558,-111.7754931,18.9,Benjamin Slough,Lake Tributary,3.96,7.52,4.56,77.5,1.9,0.0307,1.39
Summer,139,13.36,0.041775177,2.609333333,0.018487,26.7101,2749.6883,1.6493,1180.6194,1.976,393.2145,52.3213,Benjamin Slough,2,Canal,40.07801088,-111.7743811,21.5,Benjamin Slough,Lake Tributary,5.61,4.7,3.6,37.4,14.9,5.55,5.3
Summer,140,,0.03026471,,0.1595594,2.3801,181.1527,0.2033,79.7578,1.0393,299.7725,19.2666,Benjamin Slough,5,Tributary,40.0301,-111.771117,17.3,Benjamin Slough,Lake Tributary,4.7,4.15,3.24,45.3,13.5,4.76,4.07
Summer,141,2.1,0.019334571,0.739,0.2844268,7.7995,670.715,0.3875,499.7363,1.6494,1372.9807,99.1934,Benjamin Slough,2,Mainstem,40.08329127,-111.7702066,80.2,Benjamin Slough,Lake Tributary,11.1,18.8,11.3,47.2,10.6,3.73,3.94
Summer,144,12.98,0.049853729,2.896333333,0.0439642,42.4915,9246.1834,3.8578,2833.4112,3.9286,3290.1457,142.5065,Utah Valley,5,Utah Lake,40.327136,-111.766838,2950,Utah Lake,Utah Lake,0,0,0,43.8,10.7,2.1,6.15
Summer,145,1.42,0.050847571,4.691333333,2.6497044,13.9214,1936.3859,1.0322,1039.6763,2.2749,2826.6549,147.9495,Utah Valley,5,Canal,40.332807,-111.759978,40.3,Other,Lake Tributary,8.88,2.16,1.79,35.4,47.1,21.7,3.68
Summer,146,6.41,0.044055725,3.262333333,0.6833498,4.8278,517.6059,0.2821,365.8885,1.2451,262.2458,22.3198,Benjamin Slough,5,Tributary,40.05579132,-111.7638237,19.9,Benjamin Slough,Lake Tributary,5.28,4.5,3.49,40.3,16,5.99,4.85
Summer,147,3.19,0.024782389,1.134,0.170142,9.3958,58.2386,0.0179,128.4211,1.4234,275.3726,25.0689,South Valley,1,Tributary,39.93026389,-111.7617946,16.5,Benjamin Slough,Lake Tributary,3.76,7.02,4.14,77.3,1.87,0.0315,1.56
Summer,150,4.01,0.045797734,10.79433333,4.589571,13.4133,2835.0658,0.9518,976.0897,8.1182,6491.6376,133.8116,Utah Valley,5,Canal,40.33022,-111.75341,7.58,Other,Lake Tributary,1.73,0.218,0.234,18.1,73.7,33.2,7.56
Summer,153,2.56,0.026545952,1.148,0.167958,22.349,33.3737,0.0184,57.4918,1.2491,155.0173,28.5786,American Fork,3,Tributary,40.48384374,-111.7506852,7.35,Other,Lake Tributary,4.4,22.6,7.75,51.9,0,0.000473,7.17
Summer,154,11.1,0.051866312,2.273333333,0.01638,26.7343,5806.4423,2.7622,2215.5942,4.0456,3232.6352,168.8508,Spanish Fork,1,Mainstem,40.167108,-111.748753,666,Spanish Fork,Ag unreg,0,0,0,51.8,4.22,1.43,6.19
Summer,155,3.3,0.010420893,0.843333333,0.050967,6.9914,112.6441,0.0311,634.6152,1.1853,10.7837,0.5389,American Fork,2,Mainstem,40.43299,-111.74776,60.1,American Fork,Mountain Urban,22.6,45.4,19.2,72.3,0.78,0.0457,3.32
Summer,159,4.57,0.153593273,1.387666667,0.0533638,3.9173,247.8241,0.169,201.8508,1.1829,29.556,7.7933,Benjamin Slough,6,Tributary,40.003955,-111.74685,2.53,Benjamin Slough,Lake Tributary,1.31,0.957,0.888,60.7,4.59,0.9,1.57
Summer,161,2.78,,0.468333333,0.02527,3.9212,249.4367,0.1096,216.4384,1.1535,548.3806,23.9193,Benjamin Slough,6,Pond,40.005455,-111.745994,2.51,Benjamin Slough,Lake Tributary,1.3,0.951,0.883,61.2,4.39,0.88,1.53
Summer,179,5.37,0.012623243,1.578666667,0.1908368,6.2101,604.2994,0.3266,426.6926,2.8356,2464.4204,296.2663,Lower Provo,1,Mainstem,40.23690002,-111.7315989,686,Provo River,Mixed dammed,0,0,0,64.8,5.53,1.07,3.5
Summer,180,11.17,0.038667297,10.244,4.354168,35.5683,2898.738,2.154,1637.039,2.021,539.2641,64.8027,Benjamin Slough,3,Mainstem,40.08229,-111.73138,44.8,Benjamin Slough,Lake Tributary,8.72,11.4,7.42,37.1,11.8,4.22,6.06
Summer,181,9.77,0.052320999,2.504333333,0.3208128,18.2588,1765.6076,1.3333,1155.5011,1.1721,36.6124,9.2782,Spanish Fork,1,Mainstem,40.1502589,-111.7269818,666,Spanish Fork,Ag unreg,39.1,80.1,48.7,55.9,1.87,0.047,5.52
Summer,182,2.41,0.019850603,0.947333333,0.2008608,10.3988,55.6635,0.023,121.5608,1.7614,578.4312,93.4528,South Valley,1,Tributary,39.89902,-111.72614,8.89,Benjamin Slough,Lake Tributary,5.02,2.51,2.45,77.2,0.82,0.01,1.19
Summer,183,11.67,0.090293833,3.21,0.4799214,23.3721,1699.5955,1.22,1189.2831,1.2349,115.5579,9.9589,Spanish Fork,2,Mainstem,40.14078906,-111.714097,666,Spanish Fork,Ag unreg,39.1,80.1,48.7,56,1.87,0.47,5.52
Summer,190,20.31,0.418331154,9.224333333,0.0937678,13.37,4705.2437,1.1711,571.181,1.2334,89.0521,12.0796,Benjamin Slough,3,Mainstem,40.0649552,-111.7068669,39.6,Benjamin Slough,Lake Tributary,8.03,11.1,7.14,41,10.5,3.7,5.67
Summer,193,4.61,0.021117097,0.842666667,0.029316,7.7425,1800.7987,0.3626,660.4877,1.9809,396.2133,44.2706,Benjamin Slough,7,Tributary,39.986824,-111.698277,24.8,Benjamin Slough,Lake Tributary,3.64,10.3,5.49,80.7,2.43,0.0429,0.44
Summer,194,2.19,0.020777773,0.496333333,0.0823802,9.3863,936.5162,0.4918,602.9617,2.0661,2903.2497,76.7053,Spanish Fork,2,Mainstem,40.11467302,-111.6974304,661,Spanish Fork,Ag unreg,38.9,79.7,48.5,56.3,1.69,0.39,5.47
Summer,198,4.96,0.019202646,1.405333333,0.1186374,6.2406,517.723,0.1312,391.8828,2.11,391.5845,45.4276,Lower Provo,2,Mainstem,40.23805692,-111.6944392,684,Provo River,Mixed dammed,117,202,41.4,65,5.34,0.98,3.5
Summer,201,2,0.0544788,0.366,0.1050504,8.0919,144.0567,0.1482,89.3162,1.0333,445.7672,73.2187,Benjamin Slough,7,Tributary,39.971952,-111.692663,20.9,Benjamin Slough,Lake Tributary,3.4,9.45,4.91,82.9,2.66,0.0485,0.51
Summer,203,0.84,0.002843046,0.563,0.2163476,3.6608,36.6787,,190.7402,0.9652,164.0111,6.9842,Utah Valley,4,Tributary,40.36758,-111.692158,4.46,Other,Lake Tributary,1.57,8.34,3.33,71.3,0.13,0.0014,1.41
Summer,207,6.63,0.029148482,4.807666667,1.4355824,4.0083,1184.6779,0.6135,511.7578,1.2018,93.7278,25.0752,Benjamin Slough,4,Mainstem,40.05523133,-111.6832589,7.38,Benjamin Slough,Lake Tributary,2.92,3.85,2.52,57.7,11.1,3.74,0.13
Summer,209,24.59,0.034138181,2.875,0.4528454,17.6337,1404.6406,0.6505,742.9945,11.2803,2877.7629,134.886,Spanish Fork,3,Mainstem,40.102703,-111.680614,660,Spanish Fork,Ag unreg,38.8,80.3,48.4,56.4,1.67,0.38,5.46
Summer,213,4.13,0.018845374,4.429,1.238314,4.1748,971.7547,0.4732,502.959,1.5996,405.2206,27.0397,Benjamin Slough,4,Pond,40.047,-111.67,6.82,Benjamin Slough,Lake Tributary,2.78,3.72,2.47,62,6.02,2,4.06
Summer,214,21.26,0.064718643,2.945666667,0.3680516,13.6431,1240.6074,0.5653,720.5066,10.8205,2461.4887,108.471,Spanish Fork,3,Mainstem,40.09977,-111.66955,659,Spanish Fork,Ag unreg,38.8,80.2,48.4,56.5,1.51,0.31,5.45
Summer,217,7.35,0.613313455,10.831,1.2807802,10.1271,1704.4551,0.4074,402.9929,1.6031,3089.4619,100.5757,Utah Valley,9,Tributary,40.158528,-111.663806,20.9,Other,Lake Tributary,6.25,5.64,5.79,31.7,30.6,13.1,9.66
Summer,219,1.15,0.0374306,0.362666667,0.0448672,5.5217,35.4295,,371.8483,0.9471,63.9494,5.6064,American Fork,4,Mainstem,40.45606232,-111.6618633,39.4,American Fork,Mountain Urban,17.3,43.8,17.3,71.3,0.2,0.00521,3.9
Summer,222,3.25,0.029450333,0.728,0.133665,4.9804,326.2223,0.0924,232.468,1.3452,434.7105,25.2232,Lower Provo,6,Mainstem,40.30689676,-111.6574277,662,Provo River,Mixed dammed,0,0,0,65.6,4.3,0.48,3.48
Summer,223,8.28,0.469636786,19.56266667,8.4534478,13.23986667,4209.034833,0.890933333,787.8333667,1.722633333,3258.758367,161.3256333,Utah Valley,9,Tributary,40.148444,-111.657083,18.2,Other,Lake Tributary,5.81,5.67,5.65,35.8,29,12.1,9.87
Summer,225,4.9,0.025767388,1.696,0.2035236,5.7521,532.6439,0.1587,420.6086,4.8408,4183.8759,446.8444,Lower Provo,6,Mainstem,40.31273049,-111.6565899,662,Provo River,Mixed dammed,0,0,0,65.6,4.29,0.48,3.48
Summer,226,24.52,0.357130127,16.28611111,4.244022067,31.54853333,5465.803833,506.5753667,2519.3769,15.1284,1486.296167,126.2062333,Lower Provo,4,Canal,40.201872,-111.654783,18,Other,Lake Tributary,0,0,0,47.1,40.6,23,0
